ID,Pergunta,Resposta,Língua
1,O que é o MapBiomas?,"O projeto MapBiomas é uma iniciativa do Observatório do Clima co-criada e desenvolvida por uma rede multi-institucional envolvendo universidades, ONGs e empresas de tecnologia com o propósito de mapear anualmente a cobertura e uso do solo do Brasil e monitorar as mudanças do território.",PT-BR
2,Quem produz os mapas do MapBiomas?,"O MapBiomas envolve pesquisadores e especialistas em sensoriamento remoto, ciência da computação e dos biomas e dos principais usos do solo do país. Esta equipe trabalha e seus escritórios e laboratórios espalhados por várias cidades brasileiras incluindo Belém, Recife, Florianópolis, São Paulo, Brasília, Feira de Santana e Porto Alegre. Todo o trabalho é feito utilizando computação em nuvem através da plataforma Google Earth Engine.",PT-BR
3,Qual a diferença entre as coleções do MapBiomas?,"Foram produzidas 4 coleções de mapas do MapBIomas desde o início do projeto em julho de 2015. As coleções representam alterações nos períodos de abrangência dos mapa anuais, mudanças na legenda ou correções frente a versão anterior. 

Foram quatro coleções de dados publicadas: (1) coleção 1 (beta) novembro de 2015 que cobre o período de 2008 a 2015, (ii) coleção 2, lançada em abril de 2017, que cobrem o período de 2000 a 2016, (iii) Coleção 2.3 que foi uma versão bastante melhorada da Coleção 2 lançada em dezembro de 2017 e (iv) Coleção 3 – lançada em agosto de 2018 cobrindo o período de 1985 a 2017.

Todas as coleções do MapBiomas tem toda a série histórica revisada.",PT-BR
4,Como faço para baixar os mapas do MapBiomas?,"Os mapas podem ser baixados diretamente na plataforma através do link:
http://mapbiomas.org/pages/downloads

Não esqueça de baixar também os códigos da legenda em:
http://mapbiomas.org/pages/legenda

Também é possível baixar os dados diretamente do Google Earth Engine quando se necessita de cortes territoriais ou temporais específicos.

No Google Earth Engine é possível também acessar todos os dados do Mosaico Landsat e os mapas de transição. Para obter os IDs das coleções do MapBiomas no Google Earth Engine acesse:
http://mapbiomas.org/pages/scripts",PT-BR
5,Porque os arquivos baixados tem várias camadas de dados?,"Cada camada representa um ano da série. Por exemplo na Coleção 2.3 a camada 0 = 2000 e a camada 17=2016.
Também é possível baixar os dados diretamente do Google Earth Engine quando se necessita de cortes territoriais ou temporais específicos.",PT-BR
6,Porque os mapas são apresentados somente em formato raster?,"Mapas de cobertura e uso da terra feitos na escala do MapBiomas (pixel de 30m) e série temporal longa são impraticáveis em formato vetorial. Todo o processamento do projeto é feito em formato raster, pixel a pixel.",PT-BR
7,Posso baixar os dados em formato Shapefile?,"Não tem esta possibilidade da plataforma MapBiomas. A vetorização dos mapas é extremamente custosa e pouco prática para todo o território. A solução recomendada caso queira trabalhar com vetor é baixar o dado, realizar o recorte territorial e espacial de interesse e fazer a vetorização em seguida usando seu software favorito.",PT-BR
8,Os dados do MapBiomas são públicos?,"Sim, os dados do MapBiomas são públicos e gratuitos para uso não comercial ou com fins de interesse público.",PT-BR
9,"É possível trabalhar com os dados do MapBiomas na nuvem, sem ter que baixá-los?","Sim, as coleções do MapBiomas estão disponíveis como ASSETS na plataforma Google Earth Engine e podem ser acessados, processados e analisados diretamente na plataforma sem necessidade baixar os dados.

Estão disponíveis três coleções de dados principais:
> mapas anuais de cobertura e uso do solo do Brasil entre 1985 a 2017
> mapas de transição para períodos selecionados entre 1985 a 2017
> mosaicos de imagens Landsat para cada ano da série entre 1985 a 2017

Para obter os IDs das coleções do MapBiomas no Google Earth Engine acesse:
http://mapbiomas.org/pages/scripts",PT-BR
10,Como faço para citar os dados do MapBiomas?,"Os dados do MapBiomas são públicos e gratuitos mediante a simples referência da fonte observando o seguinte formato:
""Projeto MapBiomas – Coleção [versão] da Série Anual de Mapas de Cobertura e Uso de Solo do Brasil, acessado em [data] através do link: [LINK]""

""Projeto MapBiomas - é uma iniciativa multi-institucional para gerar mapas anuais de cobertura e uso do solo a partir de processos de classificação automática aplicada a imagens de satélite. A descrição completa do projeto encontra-se em http://mapbiomas.org""",PT-BR
