ID,Words,Definition,Lingua
1,Accuracy (Accuracy Analysis),Quantitative analysis of mapping accuracy. Indicates the allocation error and the area error.,EN
1,Acurácia (Anáilise da Acurácia),Análise quantitativa da exatidão do mapeamento. Indica o erro de alocação e o erro de área.,PT-BR
2,Algorithm,Set of rules and procedures established to solve a task.,EN
2,Algoritmo,Conjunto de regras e procedimentos estabelecidos para solucionar uma tarefa.,PT-BR
3,Accuracy Samples,Points collected over the anual mosaics and visually classified by the interpreter as belonging to a specific land use land cover class.,EN
3,Amostras de Acurácia,Pontos coletados nas imagens por ano e classificados pelo intérprete com uma classe de cobertura ou uso da terra.,PT-BR
4,Training Samples,Points or Polygons used to train the classifier,EN
4,Amostras de Treinamento,Pontos ou polígonos utilizados para treinar o classificador.,PT-BR
5,Empirical Decision Tree,"A cascade of parameters set to define the pixel classification. In the empirical decision trees the format and parameters of the tree are defined by the analysts, as well as the parameterization of each decision node.",EN
5,Árvore de Decisão Empírica,"Arvore de decisão um caminho com bifurcações geridas por parâmetros para se chegar a classificação do pixel. Nas árvores de decisão empíricas o formato e os parâmetros da árvore são definidos pelos analistas, assim como a parametrização de cada nó de decisão. ",PT-BR
6,Asset,"Collection of maps, images or georeferenced data available for processing and analysis in Google Earth Engine.",EN
6,Asset,"Coleção de mapas, imagens ou dados georeferenciados disponíveis para processamento e análise no Google Earth Engine.",PT-BR
7,ATBD (Algorithm Theoretical Basis Document),Document with methodological description and the algorithms used.,EN
7,ATBD (Algorithm Theoretical Basis Document),Documento com descrição metodológica e dos algoritmos utilizados.,PT-BR
8,Band,It refers to each layer of information of an Asset - be it maps or images.,EN
8,Banda,Refere-se a cada camada de informação de uma Asset - seja mapas ou imagens.,PT-BR
9,Spectral Band,Interval between two wavelengths in the electromagnetic spectrum. Landsat has several spectral bands each one covering a range of the electromagnetic spectrum.,EN
9,Banda espectral ,Intervalo entre dois comprimentos de onda no espectro eletromagnético. O Landsat possui 7 bandas espectrais cada qual cobrindo uma faixa do espectro eletromagnético.,PT-BR
10,Chart or Millionth Chart ,"Mapping division of the Brazilian territory is defined by IBGE and integrated to the International Map of the World (IMW) or Millionth Map. This division is used to organize the work of processing MapBiomas maps. Each letter covers an area of approximately 18,700 square kilometers and about 20 million pixels.",EN
10,Carta ou Carta ao Milionésimo,"Divisão cartográfica do território brasileiro definido pelo IBGE integrado a Carta Internacional do Mundo ao Milionésimo (CIM). Esta divisão é utilizada para organizar o trabalho de processamento dos mapas do MapBiomas. Cada carta abrange uma área de aproximadamente 18,7 mil Km2 e cerca de 20 milhões de pixels.",PT-BR
11,Scene,"Refers to the image generated by the sensor of a satellite. To cover the Brazilian territory, 380 Landsat scenes are required.",EN
11,Cena,Referente a imagem gerada pelo sensor de um satélite. Para cobrir o terrritório brasileiro são necessárias 380 cenas do Landsat.,PT-BR
12,Classification,Distribution of pixels in classes of a given biome or theme.,EN
12,Classificação,Distribuição dos pixels em classes de um determinado bioma ou tema. ,PT-BR
13,Classifier,Nome genérico para um método de classificação automatizada (exemplo de um classificador é o Random Forest).,EN
13,Classificador,Nome genérico para um método de classificação automatizada (exemplo de um classificador é o Random Forest).,PT-BR
14,Code Editor,Generic name for an automated classification method (example of a classifier is Random Forest).,EN
14,Code Editor,Ferramenta de programação do Google Earth Engine com interface gráfica para visualização dos resultados.,PT-BR
15,Collect Mobile,Mobile application developed by MapBiomas for the collection of reference data in the field.,EN
15,CollectMobile,Aplicativo para ceular desenvolvido pelo MapBiomas para coleta de dados de referencia no campo. ,PT-BR
16,Collection,"Each version of MapBiomas annual mapping data. The collections may vary in the period, methodology and legend.",EN
16,Coleção,"Cada versão da série histórica anual de mapas e dados de cobertura e uso solo do projeto MapBiomas. As coleções podem variar no período coberto, metetodologia e legenda.",PT-BR
17,Cloud Computing,Data processing performed on distributed processors available on the world wide computer network. In MapBiomas the cloud computing process runs through Google Earth Engine and Google Cloud Computing.,EN
17,Computação em Nuvem,Processamento de dados realizado de forma distribuída em processadores disponíveis na rede mundial de computadores. No MapBiomas utiliza computação em nuvem através do Google Earth Engine e Google Cloud Computing.,PT-BR
18,Spatial Consistency,"Distribution of pixels of a certain class in space must be consistent with landscape characteristics of the place. For example, in the middle of a hillside forest area several pixels appear as water indicating a spatial inconsistency.",EN
18,Consistência espacial,"Distribuição dos pixel de uma classe no espaço é coerente com a paisagem do local. Por exemplo, no meio de uma área de floresta em encosta aparecem vários pixels como água o que indica uma inconsistência espacial.",PT-BR
19,Temporal Consistency,"Classification history of a pixel in time is consistent with possible or probable transitions of land use and land cover. For example, a pixel that is classified as forest for 20 years but in a year in the middle of the series appears as non-forest. This is likely to be a misclassification.",EN
